Species_ID,Bishop_DB_Match,TSN,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Scientific_name,taxonRank,Authority,Synonym,Authority_Source,Citation,Common_name,Code,Life_form,Life_cycle,Omit_in_NPSpecies,Complete,Update_date,Update_by,Update_comments,TSN_park,Park,Park_common_name,Life_form_park,Nativeness,Distribution,Conservation_status,Update_date_park,Update_by_park,Update_comments_park
20100315154438-591075420.379639,Yes,783095,Cyperales,Poaceae,Digitaria ,insularis,NA,Digitaria insularis,species,(L.) Mex ex Ekman,NA,Wagner et al. 2012,"Wood & LeGrande, 2006",sourgrass,DIGINS,Grass,Perennial,FALSE,TRUE,2013-12-12T15:47:45Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",783095,WAPA,NA,Grass,Non-Native,NA,NA,NA,NA,NA
20100315154438-591075420.379639,Yes,783095,Cyperales,Poaceae,Digitaria ,insularis,NA,Digitaria insularis,species,(L.) Mex ex Ekman,NA,Wagner et al. 2012,"Wood & LeGrande, 2006",sourgrass,DIGINS,Grass,Perennial,FALSE,TRUE,2013-12-12T15:47:45Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",783095,PUHO,sourgrass,Grass,Non-Native,nat,,NA,NA,NA
20100315154438-591104447.841644,Yes,37414,Asterales,Asteraceae,Galinsoga ,parviflora,NA,Galinsoga parviflora,species,Cav.,NA,Wagner et al. 2012,"Oppenheimer 2008, 2011",galinsoga,GALPAR,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,37414,HALE,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-591104447.841644,Yes,37414,Asterales,Asteraceae,Galinsoga ,parviflora,NA,Galinsoga parviflora,species,Cav.,NA,Wagner et al. 2012,"Oppenheimer 2008, 2011",galinsoga,GALPAR,Herb,Annual,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,37414,HAVO,NA,NA,Non-Native,nat,NA,NA,NA,NA
20100315154438-591442286.968231,No,-504566,Polypodiales,Hymenophyllaceae,Trichomanes ,boryanum,NA,Trichomanes boryanum,species,Kuntze. ,NA,Whistler 1994,NA,NA,TRIBOR,Herb,Perennial,FALSE,TRUE,NA,NA,NA,-504566,NPSA,Trichomanes boryanum,Herb,Native,ind,NA,NA,NA,NA
20100315154438-591987609.863281,Yes,504361,Lamiales,Lamiaceae,Phyllostegia ,ambigua,NA,Phyllostegia ambigua,species,(A. Gray) Hillebr.,NA,Wagner et al. 2012,"Wood, 2006",mountain phyllostegia,PHYAMB,Vine,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,504361,HALE,NA,NA,Native,end,NA,NA,NA,NA
20100315154438-591987609.863281,Yes,504361,Lamiales,Lamiaceae,Phyllostegia ,ambigua,NA,Phyllostegia ambigua,species,(A. Gray) Hillebr.,NA,Wagner et al. 2012,"Wood, 2006",mountain phyllostegia,PHYAMB,Vine,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,504361,HAVO,NA,NA,Native,end,NA,NA,NA,NA
20100315154438-592458248.138428,Yes,823756,Polygonales,Polygonaceae,Persicaria,spp.,NA,Persicaria spp.,genus,NA,NA,NA,NA,NA,POLSP.3,Herb,NA,FALSE,TRUE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",823756,HAVO,knotweed,Herb,Non-Native,nat,NA,NA,NA,NA
20100315154438-59261500.8354187,Yes,506604,Pinales,Pinaceae,Pinus ,pinea,NA,Pinus pinea,species,NA,NA,NA,NA,Italian stone pine,PINPIN2,Tree,Perennial,FALSE,FALSE,NA,NA,NA,506604,HAVO,NA,NA,Non-Native,NA,NA,NA,NA,NA
20100315154438-592734873.29483,Yes,43369,Liliales,Dioscoreaceae,Dioscorea ,bulbifera,NA,Dioscorea bulbifera,species,L.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"bitter yam, common yam, hoi",DIOBUL,Herb,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,43369,HALE,hoi,Herb,Non-Native,pol,,NA,NA,NA
20100315154438-592734873.29483,Yes,43369,Liliales,Dioscoreaceae,Dioscorea ,bulbifera,NA,Dioscorea bulbifera,species,L.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"bitter yam, common yam, hoi",DIOBUL,Herb,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,43369,KALA,hoi,Herb,Non-Native,pol,,NA,NA,NA
20100315154438-592734873.29483,Yes,43369,Liliales,Dioscoreaceae,Dioscorea ,bulbifera,NA,Dioscorea bulbifera,species,L.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"bitter yam, common yam, hoi",DIOBUL,Herb,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,43369,PUHO,hoi,Herb,Non-Native,pol,,NA,NA,NA
20100315154438-592734873.29483,Yes,43369,Liliales,Dioscoreaceae,Dioscorea ,bulbifera,NA,Dioscorea bulbifera,species,L.,NA,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"bitter yam, common yam, hoi",DIOBUL,Herb,Perennial,FALSE,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,43369,NPSA,ufi,Herb,Non-Native,pol,NA,NA,NA,NA
20100315154438-592841982.841492,Yes,17393,Polypodiales,Aspleniaceae,Asplenium ,kaulfussii,NA,Asplenium kaulfussii,species,Schltdl. f. kaulfussii en,NA,2012 Bishop Museum Technical Report 60,Palmer 2003,kuau,ASPKAU2,Herb,Perennial,FALSE,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,17393,KALA,NA,NA,Native,end,NA,NA,NA,NA
